text;favorited;created
Reinsalu,sa oma loosungite praktilist teostust suudad inimestele selgitada-Eesti riigi majakas-kuidas see tegelikult välja näeb #etvfoorum;FALSE;21.02.2017 18:09
Reinsalu oli kunagi noor äraostmatu. Nüüd on ennast täiega maha müünud. #etvfoorum;FALSE;21.02.2017 18:08
Pevkur räägib kainest mõistusest. #alecoq #noop #etvfoorum;FALSE;21.02.2017 18:08
#etvfoorum ära porise?;FALSE;21.02.2017 18:07
#etvfoorum sm Anvelt ! Ei võeta ära vaid leitakse uus maks kodanikele - selline on ikka sotside poliitaka !;FALSE;21.02.2017 18:06
Anveltil kah saates harukordne raske olukord: printsiibis tahaks olla vastu, aga samas partei liin kohustab. #etvfoorum;FALSE;21.02.2017 18:06
"#etvfoorum ""blondilik vastus"" miks on varjatud rassismiga segatud väljendid lubatud ETVs?";FALSE;21.02.2017 18:05
EE on tööpuudus 6,8%, ehk siis tööjõupuudus, tippjuhtide kohtadele kandidaate pole, kuskohast tulevad siis Narva uued töötajad? #etvfoorum;FALSE;21.02.2017 18:04
Alustada võiks Tallinna Linnavalitsusega ning boonusena võiks ka MUPO ära kolida pealinnast #etvfoorum;FALSE;21.02.2017 18:04
Ootan huviga vähemalt ühte, veidikenegi loogilist põhjendust Sisekaitseakadeemia kolimisele Narva #etvfoorum;FALSE;21.02.2017 18:02
#etvfoorum algas kohe toreda apsuga;FALSE;21.02.2017 18:01
Kohe algab Foorum. Kas riigiasutused tuleks kolida pealinnast regioonidesse? Soojendusdebatis Pevkur ja  Reinsalu. https://t.co/UJQnMPIxrk;FALSE;21.02.2017 17:52
Räägime täna riigiasutuste kolimisest regioonidesse. Mida teie arvate? #etvfoorum;FALSE;21.02.2017 16:08
Foorum tegeleb täna riigiasutuse pealinnast ära kolimisega. Andke oma arvamusest teada saate ajal Twitteris https://t.co/tLUOz2xMkX;FALSE;21.02.2017 12:01
RT @JyrxLilleste: Kindlasti üks huvitavam ja pingeterohkem foorum üle pika aja. #etvfoorum;FALSE;20.02.2017 15:52
